"","OWC","ID","EA.ID","period","OvHz.time","Name","latitude","longitude"
"55","OJ29",94,"Ie01",30,"1925-1955","Kapauku",-0.88,134.05
"56","OL06",98,"Ig02",30,"1884-1914","Trobriands",-8.38,151.4
"57","OM06",96,"Ig09",30,"1899-1929","Manus",-2.07,147.43
"58","ON19",99,"Ig01",30,"1909-1939","Siwai",-8.33,157.27
"59","OR19",109,"If02",30,"1917-1947","Chuuk",7.47,151.85
"60","OR22",110,"If06",30,"1880-1910","Yapese",9.48,138.08
"61","OT11",100,"Ii02",30,"1900-1930","Tikopia",-13.85,167.55
"62","OU08",106,"Ii14",30,"1799-1829","Samoans",-13.8,-171.78
"63","OZ04",104,"Ij02",30,"1790-1820","Maori",-35.13,173.27
"64","RI03",55,"Ci12",30,"1850-1880","Abkhazians",42.52,41.88
"65","RQ02",65,"Eb01",30,"1855-1885","Kazakh",43.23,76.93
"66","RX02",119,"Ec01",30,"1860-1890","Nivkh",54.42,142.72
"67","RY02",121,"Ec03",30,"1870-1900","Chukchee",66.35,179.12
"68","SB05",158,"Sa01",30,"1897-1927","Kuna",9.2,-79.6
"69","SC07",219,"Sb02",30,"1910-1940","Kogi",11,-73
"70","SD06",168,"Sf03",30,"1878-1908","Chachi",1.1,-79
"71","SF05",172,"Sf02",30,"1910-1940","Aymara",-15.48,-70.15
"72","SG04",184,"Sg02",30,"1920-1950","Mapuche",-39.2,-71
"73","SH04",220,"Sg03",30,"1850-1880","Ona",-54.5,-67.5
"74","SH06",186,"Sg01",30,"1835-1865","Yahgan",-54.8,-68.32
"75","SM04",181,"Sj10",30,"1860-1890","Guaraní",-23.38,-51.18
"76","SO11",222,"So11",30,"1922-1952","Bahia Brazilians",-12.909453,-38.426631
"77","SQ18",163,"Sd09",30,"1935-1965","Yanoama",-0.98,-62.93
"78","SQ19",167,"Se12",30,"1909-1939","Tukano",0.62,-69.2
"79","SR15",165,"Sc06",30,"1898-1928","Saramaka",3.78,-56.15
"80","SS18",162,"Sc01",30,"1905-1935","Warao",9.75,-63.18
"81","SV03",160,"Sb09",30,"1905-1935","Haitians",18.57,-72.3
"82","AH01",66,"Eb03",30,"1890-1920","Mongolia",46,97
"83","AK05",68,"Ee03",30,"1907-1937","Lepcha",28,89
"84","AM28",72,"Ej01",30,"1910-1940","Rmeet",20,101
"85","AR05",69,"Ei01",30,"1925-1955","Garo",26,91
"86","AR07",202,"Ei08",30,"1870-1900","Khasi",26,92
"87","AR20",70,"Ei04",30,"1900-1930","Mara",22,93
"88","AT03",59,"Ea13",30,"1920-1950","West Punjabi",32,73
"89","AV07",64,"Ee02",30,"1904-1934","Burusho",37,75
"90","AW32",60,"Eg13",30,"1908-1938","Gond",20,81
"91","AW42",62,"Ef01",30,"1910-1940","Santal",24,87
"92","AX04",203,"Eh06",30,"1920-1950","Sinhalese",7,80
"93","AZ02",79,"Eh01",30,"1830-1860","Andamans",12,93
"94","ER06",51,"Cg03",30,"1925-1955","Rural Irish",53,-9
"95","ES10",205,NA,30,"1889-1919","Highland Scots",56.76,-5.24
"96","FA16",206,"Ag03",30,"1900-1930","Dogon",15,-3
"97","FI21",27,"Ai09",30,"1880-1910","Maasai",10,16
"98","FJ21",30,"Ai10",30,"1900-1930","Nuba",12,31
"99","FQ09",4,"Ab03",30,"1870-1900","Lozi",-15,23
"100","FX13",1,"Aa03",30,"1830-1860","Khoi",-26,18
"101","MA10",58,"Ea06",30,"1928-1958","Basseri",30,54
"102","MP19",32,"Ai47",30,"1909-1939","Mao",9,35
"103","MQ08",29,"Cb17",30,"1850-1880","Fur",12,24
"104","MR13",43,"Cd02",30,"1920-1950","Fellahin",25,33
"105","MS11",25,"Cb24",30,"1921-1951","Fulani",12,12
"106","MS14",207,"Cb19",30,"1926-1956","Kanuri",12,13
"107","NA07",130,"Nb05",30,"1860-1890","Eyak",60.34,-144.85
"108","NE06",132,"Nb09",30,"1850-1880","Nuxalk",52,-127
"109","NG05",144,"Ng01",30,"1604-1634","Huron/Wendat",44,-78
"110","NQ14",141,"Ne15",30,"1806-1836","Hidatsa",47,-101
"111","NS18",135,"Nc18",30,"1820-1850","Pomo",39,-123
"112","NS29",136,"Nc24",30,"1820-1850","Yokuts",36,-120
"113","NU30",154,"Nj03",30,"1910-1940","Popoluca",18,-95
"114","NU79",151,"Ni02",30,"1880-1910","O'odham",31,-112
"115","OA08",86,"Ia13",30,"1933-1963","Sama-Bajau",5.09,119.97
"116","OJ23",92,"Ie09",30,"1895-1925","Orokaiva",-9,148
"117","OJ82",93,"Ie18",30,"1930-1960","Kimam",-7.52,138.46
"118","OQ06",217,"Ih04",30,"1890-1920","Lau Fijians",-17.74,-179.31
"119","OQ12",102,"Ih14",30,"1810-1840","Bau Fijians",-17.81,178.32
"120","OR11",108,"If17",30,"1870-1900","Marshallese",6.28,169.49
"121","RF10",54,"Ch11",30,"1925-1955","Russians",53,41
"122","RU41",53,"Ec04",30,"1864-1894","Nenets",68,75
"123","RV02",218,"Ec02",30,"1870-1900","Yakut",65,125
"124","SA15",156,"Sa09",30,"1891-1921","Miskito",14.77,-84.09
"125","SC13",159,"Sb06",30,"1917-1947","Goajiro",12,-72
"126","SF21",173,"Se01",30,"1912-1942","Sirionó",-16,-64
"127","SH05",185,"Sg04",30,"1840-1870","Tehuelche",-46,-70
"128","SI07",221,"Sh01",30,"1830-1860","Mataco",-24,-63
"129","SK15",182,"Sh09",30,"1859-1889","Enxet and Enlhet",-23,-59
"130","SP08",223,"Si01",30,"1890-1920","Bororo",-16,-55
"131","SP26",179,"Sj11",30,"1928-1958","Xavante",-14,-52
"132","SR09",164,"Sc03",30,"1902-1932","Barama River Carib",5,-59
